pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
698790,3,lari,month,11,2018,148,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,4,3,2,,7,new building
701352,10652,lari,month,11,2018,400,150,for_rent,private_house,House,Tbilisi,Old Tbilisi,Vera,,Eurostandard,7,6,3,,,new building
701355,1332,lari,month,11,2018,63,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,1,,12,new building
701357,7989,lari,month,11,2018,140,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,,Eurostandard,4,3,2,,4,new building
700846,4793,lari,month,11,2018,200,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,4,3,2,,1,new building
700869,3435,lari,month,11,2018,182,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,4,3,2,,3,new building
700880,7723,lari,month,11,2018,375,,for_rent,commercial_estate,Office,Tbilisi,Isani-Samgori,,,Eurostandard,4,,1,,13,new building
696533,3995,lari,month,11,2018,220,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,6,,1,,1,new building
698085,3,lari,month,11,2018,170,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,3,2,2,,6,new building
700904,3,lari,month,11,2018,63,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,1,,12,new building
699639,10119,lari,month,11,2018,160,200,for_rent,private_house,House,Tbilisi,Vake-Saburtalo,Didi digomi,,Eurostandard,5,3,3,,,new building
737925,9321,lari,month,11,2018,700,1000,for_rent,private_house,House,Tbilisi,Vake-Saburtalo,Digomi 1,,Eurostandard,10,5,5,,,new building
737180,1731,lari,month,11,2018,115,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,4,2,1,,9,new building
737220,3995,lari,month,11,2018,175,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,4,3,2,,6,new building
733204,10119,lari,month,11,2018,38,,for_rent,commercial_estate,Retail real estate,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,1,,1,,1,new building
732956,4793,lari,month,11,2018,240,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Vedzisi,,Eurostandard,1,,2,,1,new building
729145,1598,lari,month,11,2018,70,,for_rent,flat,Apartments,Tbilisi,Didube-Chugureti,Didube,,Eurostandard,3,2,1,,11,old building
733283,1731,lari,month,11,2018,68,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,2,1,1,,3,new building
732803,1864,lari,month,11,2018,85,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,3,2,1,,4,new building
724888,2130,lari,month,11,2018,62,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,2,1,1,,6,new building
729758,3,lari,,11,2018,1000,1,for_sale,commercial_estate,Restaurant,Tbilisi,Didube-Chugureti,Didube,,Eurostandard,15,,3,,2,new building
732833,1997,lari,month,11,2018,88,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,1,2,,13,new building
730276,7456,lari,month,11,2018,270,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,6,5,3,,13,new building
730059,27962,lari,month,11,2018,1750,,for_rent,commercial_estate,Retail real estate,Tbilisi,Didube-Chugureti,Didube,,Eurostandard,4,,2,,4,new building
725202,7456,lari,month,11,2018,120,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,5,,1,,1,new building
724952,2130,lari,month,11,2018,112,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,2,,7,new building
725230,7456,lari,month,11,2018,140,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,6,,1,,1,new building
724975,19973,lari,month,11,2018,910,,for_rent,commercial_estate,Building,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,2,,3,,2,new building
719360,5326,lari,month,11,2018,130,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,2,,3,new building
723234,7989,lari,month,11,2018,240,1,for_rent,private_house,House,Tbilisi,Isani-Samgori,Isani,,Eurostandard,5,3,3,,,new building
720258,3,lari,,11,2018,268,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,6,5,3,,13,new building
723335,1198,lari,month,11,2018,67,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Bagebi,,Eurostandard,3,1,1,,3,new building
723346,1598,lari,month,11,2018,62,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,2,1,1,,10,new building
723351,6125,lari,month,11,2018,205,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,5,4,3,,7,new building
723354,6658,lari,month,11,2018,160,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,4,3,3,,9,old building
723362,2130,lari,month,11,2018,110,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Bagebi,,Eurostandard,3,2,2,,4,new building
723365,2130,lari,month,11,2018,97,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,1,,7,new building
720552,2397,lari,month,11,2018,120,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,,1,,1,new building
723371,1997,lari,month,11,2018,82,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,2,,7,new building
721125,1731,lari,month,11,2018,105,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,2,,18,new building
721132,6125,lari,month,11,2018,200,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,6,,3,,6,new building
721140,1598,lari,month,11,2018,79,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,,1,,2,new building
712977,79890,lari,year,11,2018,50,,for_lease,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,1,1,,8,new building
704789,1731,lari,month,11,2018,90,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,1,1,,11,new building
704813,1598,lari,month,11,2018,64,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,3,1,1,,1,new building
706373,3995,lari,month,11,2018,100,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,3,2,2,,4,new building
705389,1465,lari,month,11,2018,67,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,1,1,,11,new building
713135,3995,lari,month,11,2018,220,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,,Eurostandard,4,,2,,2,new building
713649,1198,lari,month,11,2018,73,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,1,1,,6,new building
704335,3462,lari,month,11,2018,120,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,4,3,2,,19,new building
704389,2530,lari,month,11,2018,176,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,5,4,2,,9,new building
704404,2663,lari,month,11,2018,96,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Vera,,Eurostandard,3,2,2,,6,new building
732945,10652,lari,month,11,2018,300,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,12,,3,,2,new building
731061,1731,lari,month,11,2018,93,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,1,1,,1,new building
733881,3,lari,month,11,2018,77,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,,Eurostandard,2,1,2,,7,new building
